ra dec zspec source id
149.993652 2.360828 2.254 zDEEP 1260551
149.993683 1.957822 2.3295 zDEEP 569987
149.994888 2.212349 2.5563 zDEEP 1031636
149.995026 2.062159 2.424 zDEEP 800832
149.995026 2.239803 2.446 zDEEP 1027232
149.996872 2.017103 2.0353 zDEEP 807204
149.997238 2.19759 2.5531 zDEEP 1033441
149.999863 2.134995 2.4938 zDEEP 1042813
150.002289 2.295723 2.0967 zDEEP 1270632
150.003799 2.150742 2.0986 zDEEP 1040642
150.005463 2.166487 2.0023 zDEEP 1038419
150.005569 2.094921 2.265 zDEEP 795892
150.005966 2.190532 2.1873 zDEEP 1034754
150.007828 2.249362 2.4414 zDEEP 1025855
150.007858 2.21063 2.4173 zDEEP 1031813
150.010712 2.332955 2.2545 zDEEP 1264767
150.020142 1.932062 2.3846 zDEEP 574061
150.025131 2.028777 2.1552 zDEEP 805715
150.027603 2.248289 2.2786 zDEEP 1025990
150.028763 2.232747 2.2179 zDEEP 1028335
150.028839 2.330363 2.1477 zDEEP 1265458
150.031708 2.098756 2.3 zDEEP -99
150.033569 2.235491 2.5602 zDEEP 1027684
150.03569 2.289587 2.4498 zDEEP 1019840
150.037491 2.193803 2.0938 zDEEP 1034240
150.037979 2.216912 2.4265 zDEEP 1030321
150.038147 2.044924 2.1459 zDEEP 803193
150.044083 2.094777 2.062 zDEEP 795895
150.046051 2.166504 2.0045 zDEEP 1038435
150.046631 2.314031 2.1634 zDEEP -99
150.048599 2.065494 2.0566 zDEEP 800431
150.052139 2.046292 2.4935 zDEEP 802784
150.053238 2.151276 2.4352 zDEEP 1038590
150.053314 1.961038 2.1239 zDEEP 815491
150.05368 2.023659 2.544 zDEEP 806192
150.054092 2.016419 2.4957 zDEEP 807449
150.059036 2.24053 2.2869 zDEEP 1027221
150.062531 2.302299 2.101 zDEEP 1244727
150.062576 1.977799 2.2284 zDEEP 787985
150.063751 2.135373 2.1554 zDEEP 1017961
150.063751 1.964642 2.5313 zDEEP 790184
150.064346 2.135173 2.2233 zDEEP 1017959
150.06485 2.341569 2.09 zDEEP 1238609
150.066574 2.34301 2.4955 zDEEP 1238516
150.069412 2.3212 2.0833 zDEEP 1241679
150.079941 2.235183 2.0977 zDEEP 1002633
150.080048 1.946416 2.0595 zDEEP 546592
150.080597 2.072111 2.4088 zDEEP 774212
150.084381 2.356042 2.084 zDEEP 1236457
150.084808 1.958134 2.4301 zDEEP 544874
150.085144 2.208677 2.055 zDEEP 1006785
150.086395 2.177864 2.0904 zDEEP 1011504
150.087845 2.116723 2.0971 zDEEP 767306
150.088425 2.248489 2.299 zDEEP 1000524
150.088715 1.969282 2.2329 zDEEP 789671
150.093414 2.344893 2.0882 zDEEP 1238170
150.097046 2.270184 2.0879 zDEEP 997207
150.100616 2.024456 2.2127 zDEEP 780597
150.102127 1.9306 2.3402 zDEEP 549324
150.118759 2.33757 2.5566 zDEEP 1239045
150.119202 2.017362 2.3925 zDEEP 782393
150.119324 2.224123 2.227 zDEEP 1004243
150.12117 2.162472 2.2308 zDEEP 1013877
150.123688 1.951408 2.4306 zDEEP 546001
150.131439 2.127211 2.1679 zDEEP 1019115
150.134171 1.985728 2.2412 zDEEP 786100
150.134445 2.283634 2.4115 zDEEP 995389
150.134827 2.355805 2.4473 zDEEP 1236926
150.137405 2.072816 2.0649 zDEEP 774012
150.137909 2.360973 2.2304 zDEEP -99
150.141998 2.265092 2.2 zDEEP 998073
150.145584 2.157726 2.1718 zDEEP 1013614
150.145767 2.341309 2.3591 zDEEP 1238738
150.146072 2.00695 2.2351 zDEEP 784085
150.159103 2.244352 2.485 zDEEP 1001171
150.159439 2.113466 2.3237 zDEEP 767730
150.160034 2.354728 2.568 zDEEP 1237031
150.160324 2.119519 2.1063 zDEEP 766831
150.161011 2.275899 2.5 zDEEP 996496
150.161194 2.035392 2.3418 zDEEP 779593
150.163437 2.000676 2.2314 zDEEP 784836
150.165192 2.154372 2.2364 zDEEP 1014101
150.168396 1.990972 2.1174 zDEEP 785703
150.168518 2.217379 2.5117 zDEEP 1005277
150.17009 2.306365 2.1001 zDEEP 1243990
150.17157 2.021297 2.0476 zDEEP 781745
150.174713 2.345986 2.514 zDEEP 1238122
150.184555 2.266249 2.45 zDEEP 997749
150.185379 2.086629 2.4952 zDEEP 771685
150.185669 2.18942 2.5224 zDEEP -99
150.18576 2.135056 2.1062 zDEEP 1017669
150.18808 2.118086 2.1792 zDEEP 767300
