clamato_id ra dec zspec source id gmag rmag imag tomo_flag arcsec_to_COSMOS15_photometry mstar mstar_err sfr_nuv sfr_nuv_corr sfr_nuv_corr_err
26 150.07752991 2.21603322 2.08588 MOSDEF 3666 24.055 23.63 23.27 1 0.06907023521451343 28401725066.0 7230987331.94 16.639388054280555 69.22301841569231 20.033475794993105
27 150.07943726 2.21715331 2.30145 MOSDEF 3895 -99.0 -99.0 -99.0 1 0.2868331822501616 2165082740.91 844702505.052 4.831538700237188 8.940867742245958 5.849850209786864
28 150.09251404 2.21842647 2.09781 MOSDEF 3974 25.589 25.493 25.546 1 0.013040117313037926 14073764015.1 6094087526.53 2.661089911564333 9.565227017922458 4.233164767783297
29 150.07723999 2.2185936 2.10557 MOSDEF 4001 24.541 24.082 24.003 1 0.03776884635531627 9967635619.91 3204627799.9 11.770084711159608 32.45982132531235 14.504651066248101
30 150.06781006 2.21943521 2.4411 MOSDEF 4078 25.199 24.771 24.74 1 0.031793411765598203 5356464353.72 2601481354.32 5.206249569726671 12.865960133668269 7.0386980317584795
31 150.08572388 2.22317672 2.19703 MOSDEF 4446 24.744 24.442 24.395 1 0.04346705771012672 3608469906.91 1865789510.05 6.268973464417012 12.470215409434104 7.9809533721059065
32 150.07147217 2.22387266 2.44139 MOSDEF 4497 24.894 24.363 24.253 1 0.0584789452864505 25176338842.6 8888783048.12 10.363162443741198 40.71531447192281 13.966160120712054
33 150.10498047 2.22623253 2.43985 MOSDEF 4717 25.414 24.792 24.57 1 0.028001693144876445 26702061117.6 9755980401.93 10.240888061757163 42.09951518143397 13.691344922776022
34 150.09962463 2.22811079 2.09914 MOSDEF 4915 -99.0 -99.0 -99.0 1 0.28488337478208065 4688956327.35 2431000778.78 7.921488890554333 15.303247459785384 9.955352927996996
35 150.12098694 2.22879481 2.22608 MOSDEF 4930 -99.0 -99.0 -99.0 1 0.38686902327534767 31435394038.8 11904152294.5 17.595848617169416 55.26762874913543 27.042972353449958
36 150.09928894 2.22804236 2.08126 MOSDEF 4945 -99.0 -99.0 -99.0 1 0.9476416732480973 4708083939.59 2430282778.64 7.773830819154945 15.232992952826882 9.819684445692968
37 150.1403656 2.23018551 2.17149 MOSDEF 5094 25.427 24.96 24.846 1 0.052790558164447 17025418209.0 7518389189.31 5.273163196954614 20.566489200994713 7.63765189945847
38 150.13833618 2.23000908 2.14428 MOSDEF 5107 24.925 24.616 24.431 1 0.024588681012045966 10215622004.6 4640543351.9 7.555786818848435 20.991123213124414 10.16183275529434
39 150.06158447 2.23363066 2.52204 MOSDEF 5462 25.806 25.14 25.179 1 0.08473289445491135 10347657455.7 4706394738.42 5.054696041297514 17.739357337757056 7.366070231441771
40 150.12110901 2.23542571 2.43544 MOSDEF 5640 24.175 24.203 24.194 1 0.014416392116521414 1651929274.35 796230597.199 9.559463110808347 11.599321058017914 11.110820222863419
41 150.05580139 2.23610973 2.42767 MOSDEF 5681 26.0 25.803 25.404 1 0.08595054254840089 129402271602.0 34592934559.7 3.393210227727486 8.68606440842036 5.866264082594961
42 150.10235596 2.23818326 2.09755 MOSDEF 5912 25.02 24.756 24.85 1 0.06975074657583955 870664123.83 468676280.647 4.185093688383 5.707254863229512 5.039407046611197
43 150.10946655 2.24007177 2.44138 MOSDEF 6079 25.258 24.727 24.762 1 0.06147170253011566 33077382317.3 12265592564.4 9.014850326820627 40.77759613702835 12.623963335621216
